iter	Passed	Remaining
0	94	9331
1	99	4877
2	104	3388
3	110	2661
4	116	2214
5	121	1906
6	126	1684
7	132	1518
8	137	1385
9	141	1276
10	147	1192
11	152	1118
12	158	1058
13	163	1005
14	169	959
15	173	913
16	179	875
17	185	843
18	191	814
19	196	785
20	202	762
21	207	736
22	213	714
23	215	683
24	222	668
25	228	649
26	233	631
27	239	615
28	245	599
29	250	585
30	256	570
31	263	559
32	268	545
33	274	533
34	280	520
35	286	508
36	289	492
37	294	481
38	300	469
39	305	458
40	312	449
41	318	439
42	324	430
43	330	420
44	335	410
45	341	400
46	346	391
47	354	384
48	360	375
49	365	365
50	370	356
51	376	347
52	382	338
53	387	330
54	394	322
55	401	315
56	407	307
57	412	298
58	417	290
59	422	281
60	428	273
61	435	267
62	441	259
63	447	251
64	452	243
65	457	235
66	462	228
67	468	220
68	473	212
69	479	205
70	486	198
71	491	191
72	496	183
73	502	176
74	506	168
75	511	161
76	516	154
77	520	146
78	526	139
79	532	133
80	537	126
81	542	119
82	547	112
83	553	105
84	558	98
85	564	91
86	568	85
87	574	78
88	579	71
89	584	64
90	589	58
91	594	51
92	599	45
93	604	38
94	609	32
95	614	25
96	619	19
97	624	12
98	629	6
99	634	0
